Scenario,Leverage,Debt Amount,DSCR Pre,DSCR Post,Base Viable,Low Viable
base,1.5,3316500.0,2.22,2.35,True,True
base,1.75,3869250.0,1.90,2.03,True,True
base,2.0,4422000.0,1.67,1.80,True,True
base,2.25,4974750.0,1.48,1.61,False,True
base,2.5,5527500.0,1.33,1.46,False,False
base,2.75,6080250.0,1.21,1.34,False,False
base,3.0,6633000.0,1.11,1.24,False,False
base,3.25,7185750.0,1.02,1.16,False,False
base,3.5,7738500.0,0.95,1.08,False,False
base,3.75,8291250.0,0.89,1.02,False,False
base,4.0,8844000.0,0.83,0.96,False,False
base,4.25,9396750.0,0.78,0.92,False,False
base,4.5,9949500.0,0.74,0.87,False,False
low,1.5,3316500.0,1.98,2.11,True,True
low,1.75,3869250.0,1.70,1.83,True,True
low,2.0,4422000.0,1.49,1.62,False,True
low,2.25,4974750.0,1.32,1.45,False,False
low,2.5,5527500.0,1.19,1.32,False,False
low,2.75,6080250.0,1.08,1.21,False,False
low,3.0,6633000.0,0.99,1.12,False,False
low,3.25,7185750.0,0.92,1.05,False,False
low,3.5,7738500.0,0.85,0.98,False,False
low,3.75,8291250.0,0.79,0.92,False,False
low,4.0,8844000.0,0.74,0.88,False,False
low,4.25,9396750.0,0.70,0.83,False,False
low,4.5,9949500.0,0.66,0.79,False,False
